Source: ACS 1-Year Estimates Public Use Microdata Sample 2015
Weight used: WGTP
"Universe: selected geographies: Orange County (Southwest)--..., Orange County (South Centra..., Orange County (West Central..., Orange County (Central)--Ir..., Orange County (Northeast)--..., Orange County (North)--Yorb..., Orange County (North Centra..., Orange County (Northwest)--..., Orange County (North Centra..., Orange County (Central)--Or..., Orange County (North Centra..., Orange County (Northwest)--..., Orange County (Northwest)--..., Orange County (Northwest)--..., Orange County (Southeast)--..., Orange County (Central)--Sa..., Orange County (Central)--Sa..., Orange County (Central)--Co..."
"","Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars) recode (HINCP_RC1)","","","","","","","","",""
"Selected Geographies","Negative Income","No Income","1-20000","20001-40000","400001-60000","60001-80000","80001-120000","120001-160000","160001-200000","200000-Max"
"Orange County (Southwest)--San Clemente, Laguna Niguel & San Juan Capistrano Cities PUMA; California","0","1","1","2","2","2","3","3","3","3"
"Orange County (South Central)--Mission Viejo & Rancho Santa Margarita (West) Cities PUMA, California","0","1","2","2","2","2","3","3","3","3"
"Orange County (West Central)--Newport Beach, Aliso Viejo & Laguna Hills Cities PUMA; California","0","2","2","2","2","2","2","3","3","3"
"Orange County (Central)--Irvine City (Central) PUMA, California","0","2","2","2","2","3","3","3","3","3"
"Orange County (Northeast)--Lake Forest, Irvine (North) Cities & Silverado PUMA; California","0","1","2","2","3","3","3","3","3","3"
"Orange County (North)--Yorba Linda, La Habra & Brea Cities PUMA; California","0","2","2","3","3","3","3","3","3","3"
"Orange County (North Central)--Fullerton & Placentia Cities PUMA, California","0","3","2","2","3","3","3","3","3","3"
"Orange County (Northwest)--Buena Park, Cypress & Seal Beach Cities PUMA; California","0","2","2","2","3","3","3","3","3","3"
"Orange County (North Central)--Anaheim City (East) PUMA, California","0","1","2","3","3","3","4","3","4","3"
"Orange County (Northwest)--Huntington Beach City PUMA, California","0","1","2","2","2","2","3","3","3","3"
"Orange County (Southeast)--Rancho Santa Margarita City (East) & Ladera Ranch PUMA, California","0","1","2","2","2","2","3","3","4","3"
"Orange County (Central)--Costa Mesa & Fountain Valley Cities PUMA, California","0","2","2","3","2","3","3","3","3","3"
"Orange County (North Central)--Anaheim City (West) PUMA, California","0","3","2","3","3","4","4","4","4","4"
"Orange County (Central)--Orange & Villa Park Cities PUMA, California","0","3","2","3","2","3","3","4","3","4"
"Orange County (Northwest)--Westminster, Stanton & Garden Grove (West) Cities PUMA; California","0","2","2","3","3","4","3","3","4","4"
"Orange County (Northwest)--Garden Grove City (East) PUMA, California","0","3","3","3","3","3","4","3","4","5"
"Orange County (Central)--Santa Ana City (West) PUMA, California","0","2","3","4","4","4","5","5","6","5"
"Orange County (Central)--Santa Ana City (East) PUMA, California","0","2","3","4","4","4","4","5","6","5"
